,initial angle,arc_length,incidence angle,distance from mirror
743,0.0007430743074307431,1.1665463230040846e-05,0.008400382196695196,4.906118957046522e-08
744,0.0007440744074407441,1.1681160740398116e-05,0.008411687869608742,4.919323212792052e-08
745,0.0007450745074507451,1.1696858238025694e-05,0.008422993540737474,4.932545204904336e-08
746,0.0007460746074607461,1.1712555724912211e-05,0.008434299210964436,4.9457849350304445e-08
747,0.000747074707470747,1.1728253197886623e-05,0.008445604878997365,4.9590424004645055e-08
748,0.0007480748074807481,1.1743950659548723e-05,0.008456910545882032,4.972317603371884e-08
749,0.0007490749074907491,1.1759648110691881e-05,0.008468216211775261,4.9856105443972885e-08
750,0.0007500750075007501,1.1775345546945227e-05,0.00847952187537408,4.998921219807043e-08
751,0.0007510751075107511,1.179104297372716e-05,0.008490827538285757,5.012249634167069e-08
752,0.0007520752075207522,1.1806740385953682e-05,0.00850213319901543,5.025595783130043e-08
753,0.0007530753075307531,1.182243778748973e-05,0.008513438858708708,5.038959669951816e-08
754,0.0007540754075407541,1.1838135177537208e-05,0.008524744517172618,5.0523412939259325e-08
755,0.0007550755075507551,1.1853832553689177e-05,0.008536050173668933,5.0657406529687486e-08
756,0.0007560756075607561,1.1869529918543671e-05,0.008547355828852327,5.079157749267416e-08
757,0.0007570757075707572,1.1885227271414e-05,0.008558661482783796,5.09259258220671e-08
758,0.0007580758075807581,1.1900924611228016e-05,0.008569967134849445,5.106045150837778e-08
759,0.0007590759075907591,1.1916621939685188e-05,0.008581272785705973,5.1195154565875606e-08
760,0.0007600760076007601,1.1932319255073655e-05,0.008592578434980841,5.1330034979569636e-08
761,0.0007610761076107611,1.1948016558645817e-05,0.008603884082737668,5.146509275991606e-08
762,0.0007620762076207621,1.1963713849749398e-05,0.00861518972902732,5.160032790100519e-08
763,0.0007630763076307631,1.1979411128021126e-05,0.008626495373687957,5.173574039939575e-08
764,0.0007640764076407641,1.1995108394642886e-05,0.008637801017034033,5.1871330264985835e-08
765,0.0007650765076507651,1.201080564904453e-05,0.008649106658974951,5.200709749255871e-08
766,0.0007660766076607661,1.2026502890789812e-05,0.008660412299320448,5.214304207803496e-08
767,0.0007670767076707671,1.2042200120154178e-05,0.008671717938131634,5.22791640234929e-08
768,0.0007680768076807681,1.2057897337338563e-05,0.008683023575562629,5.241546333037565e-08
769,0.0007690769076907691,1.2073594542618885e-05,0.008694329211565066,5.255194000078429e-08
770,0.0007700770077007701,1.2089291735277761e-05,0.008705634846088281,5.268859402818116e-08
771,0.0007710771077107711,1.2104988914413394e-05,0.008716940478768203,5.282542540439104e-08
772,0.0007720772077207721,1.212068608200055e-05,0.008728246110113275,5.2962434146323434e-08
773,0.0007730773077307731,1.2136383236251185e-05,0.008739551739871246,5.3099620238065595e-08
774,0.0007740774077407741,1.2152080378980368e-05,0.008750857368310124,5.323698369517868e-08
775,0.0007750775077507751,1.216777750928042e-05,0.008762162995282772,5.337452450942594e-08
776,0.0007760776077607761,1.218347462603323e-05,0.008773468620401393,5.351224267068749e-08
777,0.0007770777077707771,1.2199171731177204e-05,0.008784774244312643,5.3650138195666535e-08
778,0.0007780778077807781,1.221486882294082e-05,0.008796079866467762,5.378821106849056e-08
779,0.000779077907790779,1.2230565903418242e-05,0.00880738548750985,5.392646130728369e-08
780,0.0007800780078007801,1.2246262969956114e-05,0.008818691106584117,5.406488888836068e-08
781,0.0007810781078107811,1.2261960024648965e-05,0.00882999672434508,5.420349382988042e-08
782,0.0007820782078207821,1.2277657066143348e-05,0.008841302340415887,5.4342276119582305e-08
783,0.0007830783078307831,1.2293354095673524e-05,0.008852607955191723,5.4481235768074034e-08
784,0.000784078407840784,1.2309051112580851e-05,0.008863913568459461,5.462037276922322e-08
785,0.0007850785078507851,1.2324748116012354e-05,0.00887521917989932,5.475968711514543e-08
786,0.0007860786078607861,1.2340445107875544e-05,0.008886524790209452,5.489917882246939e-08
787,0.0007870787078707871,1.2356142085747154e-05,0.008897830398591206,5.5038847869341414e-08
788,0.0007880788078807881,1.2371839052447005e-05,0.00890913600585872,5.517869428054983e-08
789,0.0007890789078907892,1.2387536004822824e-05,0.008920441611121417,5.531871802769087e-08
790,0.0007900790079007901,1.2403232944845868e-05,0.008931747214902596,5.5458919128024184e-08
791,0.0007910791079107911,1.2418929873081497e-05,0.008943052817550982,5.559929758630872e-08
792,0.0007920792079207921,1.2434626787364046e-05,0.00895435841820641,5.573985338285452e-08
793,0.0007930793079307931,1.2450323690491273e-05,0.008965664017877363,5.588058654241442e-08
794,0.0007940794079407942,1.2466020578561974e-05,0.008976969615277813,5.602149702967951e-08
795,0.0007950795079507951,1.2481717455308167e-05,0.008988275211614712,5.616258487783709e-08
796,0.0007960796079607961,1.2497414318672328e-05,0.008999580806190448,5.630385006808658e-08
797,0.0007970797079707971,1.2513111169605155e-05,0.00901088639936515,5.6445292608670055e-08
798,0.0007980798079807981,1.2528808007294115e-05,0.009022191990919045,5.658691249195016e-08
799,0.0007990799079907992,1.254450483167825e-05,0.009033497580716312,5.6728709717049165e-08
800,0.0008000800080008001,1.2560201644786914e-05,0.009044803169510418,5.687068430200561e-08
801,0.0008010801080108011,1.2575898443523435e-05,0.00905610875629688,5.701283621848925e-08
802,0.0008020802080208021,1.2591595229958327e-05,0.009067414341714895,5.715516548492781e-08
803,0.0008030803080308031,1.260729200276059e-05,0.009078719925292692,5.729767208893052e-08
804,0.0008040804080408041,1.262298876337058e-05,0.009090025507662455,5.7440356043262986e-08
805,0.0008050805080508051,1.2638685510009502e-05,0.00910133108813916,5.758321733143046e-08
806,0.0008060806080608061,1.2654382243848178e-05,0.009112636667002339,5.772625596376096e-08
807,0.0008070807080708071,1.2670078965359544e-05,0.009123942244634935,5.7869471944260784e-08
808,0.0008080808080808081,1.2685775674183524e-05,0.009135247820710141,5.801286526933737e-08
809,0.0008090809080908091,1.2701472368913518e-05,0.009146553394915087,5.815643592580894e-08
